iter	Passed	Remaining
0	2	233
1	3	155
2	3	124
3	4	108
4	5	108
5	6	99
6	7	93
7	7	87
8	8	83
9	8	78
10	9	74
11	9	71
12	10	69
13	10	66
14	11	64
15	11	62
16	12	60
17	13	59
18	13	56
19	13	55
20	14	54
21	14	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	26	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	34
46	30	34
47	31	33
48	31	33
49	32	32
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	38	30
56	38	29
57	39	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	66	0
99	66	0
